"artistid","artist"
884,now
885,michel delpech
887,hanna banaszak
888,roberta flack
889,styx
890,andrea berg
891,blur
892,beatles
893,"bobby ""blue"" bland"
894,sex machineguns
896,nilsson
897,dos
898,pj harvey
899,petter feat. eye 'n' i
901,sentenced
902,b'z
904,sixpence none the richer
905,nathan cavaleri
906,foxy brown
907,new order
908,marina watanabe
909,diesel
910,fayray
911,jmx feat. tikiman
912,katsumi
913,edwyn collins
914,personz
915,pocket biscuits
916,super egg machine
919,tetsuya komuro
920,deep purple
921,my little lover
923,magma
925,phil thornton
927,astrid seriese and peter meuris
928,sha-na-ra
931,irving berlin song book [mcps grf 106]
932,lowell fulson
933,ma rainey
934,tee
935,oneil devost
939,fontella bass
940,dean martin sammy davis jr frank sinatra
942,earl bostic
943,ji myoung
944,benny goodman
945,iv sarah vanughan
947,lonnie pitchford
948,eddie hinton
950,shorty rogers
951,chip davis
952,sojiro
953,sidney bechet
954,sway & king tech featuring dj revolution
955,john cunningham
956,frl. mayer's hinterhausjazzer
957,goran bregovich
960,giannhs parios
962,craig armstrong
964,"vyacheslav ganelin, petras vysniauskas, arkadi gotesman"
965,liz pennock & dr. blues
966,smoke blues band
967,seatbelts
968,thirteen moons
970,will roc
971,joe sullivan
975,dinah washington
976,stan tracey
978,marianne rosenberg
980,elo
981,variados
982,b b king
983,blackstreet
984,dutch tilders
985,"112"
986,ras kass
987,westlife
988,george harrison
990,marijn ten houte de lange
992,phil collins
993,greene
994,sherbet antlers
995,avril lavigne
996,united
997,georgina
998,alexia
999,lullacry
1000,michelle branch
1001,cyber x feat. tomiko van
1002,iam
1003,midge ure
1005,friend 'n' fellow
1007,keith washington
1008,babyface
1009,tiara
1010,monifah
1011,ku reijo
1012,twin fizz
1013,the gospellers
1014,mc sar & the real mccoy
1015,jango
1016,chage's super band multi max
1017,the maxwell implosion
1019,robyn hitchcock
1020,sing like talking
1021,kiyotaka sugiyama
1022,janne da arc
1023,great3
1024,aswad
1025,popa chubby
1026,ajay heble & jesse stewart
1028,pimsleur
1029,sebõ együttes
1030,exotic guitars
1032,klaus back & tini beier
1033,loren mazzacane connors
1034,screamin' jay hawkins
1035,marty and his rockin' comets
1036,ida cox
1037,the classic
1039,mina
1041,yan vagh
1042,dudu pukwana & john stevens
1046,leadbelly
1048,jolly jumper & big moe
1049,the south rowan jazz band
1053,claude luter
1056,blues history
1057,crooners
1059,motoi sakuraba
1060,percy faith
1062,d c & company
1063,bossa nova for lovers
1064,valdemar rasmussen
1066,"10th avenue jazz band"
1067,salsa mania
1069,michael ramjoue
1071,texas
1072,joy denalane
1073,smap
1074,the pillows
1075,adolescent's
1076,diana krall
1077,r. kelly
1079,-oswaldo montenegro
1080,pikaso
1083,hall & oates
1085,exile
1089,n
1090,lohues & the louisiana bluesclub
1091,steriogram
1092,the white stripes
1093,t-bolan
1094,kuwata band
1095,feel so bad
1096,daniel lemma
1097,cypresshill
1098,mabita epolo
1099,zigzo
1100,jewel
1101,missy elliott
1102,roomful of blues
1104,céline dion
1105,dream
1106,grass valley
1108,kenny latimore
1109,sads
1110,user
1111,triceratops
1112,bighornsbee
1113,yuri buenaventura
1115,bebe & cece
1116,masayah
1118,ribbon
1119,deacon blue
1122,hikaru utada
1123,mis-teeq
1124,therese
1125,whitney houston - cece winans
1126,tlc
1127,the cover girls
1128,blümchen
1129,echos
1131,gerry rafferty
1133,tmn
